localhour,ssd,state
2017-01-01,43.91077044697239,Texas
2017-01-02,40.23900659180274,Texas
2017-01-03,40.80409848613515,Texas
2017-01-04,17.85727598151662,Texas
2017-01-05,29.538180429501462,Texas
2017-01-06,-6.867714353925694,Texas
2017-01-07,-9.594126650473864,Texas
2017-01-08,19.601499334903213,Texas
2017-01-09,24.92932867471822,Texas
2017-01-10,20.559993001643793,Texas
2017-01-11,33.46244483888684,Texas
2017-01-12,28.75250017140014,Texas
2017-01-13,41.53022336805144,Texas
2017-01-14,34.43636935383273,Texas
2017-01-15,32.11412567190232,Texas
2017-01-16,40.62181331601882,Texas
2017-01-17,34.42940111625481,Texas
2017-01-18,22.270912265083435,Texas
2017-01-19,36.93478535995873,Texas
2017-01-20,35.134666218634514,Texas
2017-01-21,47.80287792006737,Texas
2017-01-22,17.31166972178458,Texas
2017-01-23,25.395183220516063,Texas
2017-01-24,36.00494429235559,Texas
2017-01-25,35.63187861282562,Texas
2017-01-26,23.872801480397158,Texas
2017-01-27,27.52320462756977,Texas
2017-01-28,23.990715419811803,Texas
2017-01-29,23.95077458776035,Texas
2017-01-30,32.93773591317591,Texas
2017-01-31,38.018860113428566,Texas
2017-02-01,35.65640543104215,Texas
2017-02-02,34.944436011832565,Texas
2017-02-03,18.51880321775792,Texas
2017-02-04,27.127157808509693,Texas
2017-02-05,41.78277687339276,Texas
2017-02-06,37.6883580525655,Texas
2017-02-07,39.06104963943908,Texas
2017-02-08,48.97477929336814,Texas
2017-02-09,20.704958979257814,Texas
2017-02-10,38.408197112553445,Texas
2017-02-11,34.60076378025355,Texas
2017-02-12,45.933018500220946,Texas
2017-02-13,38.14252240805964,Texas
2017-02-14,24.59450488556509,Texas
2017-02-15,10.586239769166339,Texas
2017-02-16,29.84694006932315,Texas
2017-02-17,37.31883990822442,Texas
2017-02-18,35.19200160857685,Texas
2017-02-19,43.67917122327017,Texas
2017-02-20,37.53344026802342,Texas
2017-02-21,36.8151677582912,Texas
2017-02-22,41.67012099269864,Texas
2017-02-23,48.17024449796204,Texas
2017-02-24,41.274785075163386,Texas
2017-02-25,21.71522509617323,Texas
2017-02-26,34.06734726395915,Texas
2017-02-27,44.7498100850396,Texas
2017-02-28,42.10390569538929,Texas
2017-03-01,40.26832216310027,Texas
2017-03-02,22.16304542118841,Texas
2017-03-03,31.42474192754626,Texas
2017-03-04,37.66867871918183,Texas
2017-03-05,38.60827437242235,Texas
2017-03-06,37.35540794775958,Texas
2017-03-07,36.125522404241295,Texas
2017-03-08,33.437421658791116,Texas
2017-03-09,47.819427490112645,Texas
2017-03-10,49.22272945642749,Texas
2017-03-11,49.55462024357152,Texas
2017-03-12,24.769101122694337,Texas
2017-03-13,31.00374900740643,Texas
2017-03-14,34.3461474331713,Texas
2017-03-15,41.722225972371696,Texas
2017-03-16,37.007058399425304,Texas
2017-03-17,27.83569599806792,Texas
2017-03-18,42.86937911434603,Texas
2017-03-19,47.00530930827833,Texas
2017-03-20,38.85247287517678,Texas
2017-03-21,38.44573404353794,Texas
2017-03-22,43.470912453689756,Texas
2017-03-23,35.21353028959806,Texas
2017-03-24,27.890767078612274,Texas
2017-03-25,43.17879745423707,Texas
2017-03-26,48.59125281001417,Texas
2017-03-27,43.636735240722054,Texas
2017-03-28,49.581497379573186,Texas
2017-03-29,37.2379979010144,Texas
2017-03-30,38.39981504093585,Texas
2017-03-31,42.13439924968977,Texas
2017-04-01,35.094334955362406,Texas
2017-04-02,38.60450526809269,Texas
2017-04-03,38.720009304179,Texas
